input,action
"Any[0.0, 23.2]",-0.21745374394773326
"Any[11.6, 0.0]",5.021331097446941
"Any[23.2, 11.6]",15.799917264123915
"Any[-23.2, -11.6]",-15.247980534297513
"Any[0.0, -11.6]",2.806225943987948
"Any[23.2, -11.6]",14.426868771353188
"Any[-11.6, 0.0]",-1.8228728904675644
"Any[23.2, 0.0]",16.132880893751672
"Any[0.0, -11.6]",0.5885887255940216
"Any[-23.2, 11.6]",-9.443881935443109
"Any[-11.6, 11.6]",-9.625278087108914
"Any[11.6, -11.6]",1.4158375415087405
"Any[-11.6, 23.2]",-6.777035439297343
"Any[11.6, -11.6]",3.0641754622847057
"Any[-11.6, -23.2]",-5.829394086254562
"Any[0.0, -23.2]",3.986401047739429
"Any[-11.6, 0.0]",-2.196758763473436
"Any[11.6, 23.2]",6.540814795991674
"Any[-11.6, 23.2]",-13.742070252957067
"Any[0.0, -11.6]",-4.663106265410917
"Any[23.2, 11.6]",14.05149605780425
"Any[23.2, -11.6]",9.15538271531981
"Any[23.2, -11.6]",19.092433480544937
"Any[23.2, 0.0]",17.536189109147625
"Any[-11.6, 0.0]",-4.7447929985113655
"Any[0.0, -23.2]",0.055862977745291476
"Any[0.0, 23.2]",3.406567121428578
"Any[-11.6, 23.2]",-12.231781888848795
"Any[23.2, 0.0]",7.8762813868789925
"Any[-23.2, 11.6]",-15.878816420035912
"Any[23.2, -11.6]",13.253040714883943
"Any[23.2, 0.0]",13.666060762832004
"Any[-11.6, 23.2]",-5.421305845479147
"Any[-11.6, 0.0]",-11.553127350452513
"Any[-11.6, 11.6]",-7.171130376999075
"Any[-11.6, 11.6]",-9.717625278144064
"Any[-23.2, 11.6]",-18.26053973608648
"Any[23.2, -11.6]",7.852777088061897
"Any[0.0, -11.6]",1.056359809528853
"Any[11.6, 0.0]",9.822823692852946
"Any[23.2, -11.6]",14.378067474172086
"Any[23.2, 11.6]",18.89975696831165
"Any[11.6, 0.0]",5.202412019953255
"Any[0.0, 11.6]",4.535437522055494
"Any[-11.6, -23.2]",-8.145659297359327
"Any[-11.6, 23.2]",-2.618258881020076
"Any[-23.2, 0.0]",-20.540188675464336
"Any[11.6, -23.2]",4.35057046598223
"Any[11.6, 23.2]",9.554923509393864
"Any[-23.2, 0.0]",-19.8367461685028
"Any[11.6, -11.6]",7.359047324219807
"Any[11.6, -23.2]",6.3722393745136765
"Any[11.6, -11.6]",13.487395786419492
"Any[11.6, -23.2]",11.083798087955742
"Any[11.6, 23.2]",13.863325109974419
"Any[-23.2, 11.6]",-17.082188074487096
"Any[-23.2, 11.6]",-16.9576193588117
"Any[-11.6, 11.6]",-12.368146818827936
"Any[-23.2, 11.6]",-19.490708155150294
"Any[-11.6, -23.2]",-13.509923193579947
"Any[23.2, 11.6]",15.741540676892253
"Any[23.2, -11.6]",9.585797065595667
"Any[23.2, -11.6]",19.593461356353348
"Any[0.0, 23.2]",4.567176236569567
"Any[-11.6, 23.2]",-9.220061560611363
"Any[0.0, -11.6]",-5.684236029240473
"Any[23.2, 0.0]",13.985701825345265
"Any[0.0, -11.6]",-1.4108770791213772
"Any[-23.2, 11.6]",-8.644258218401362
"Any[0.0, -23.2]",-3.5352509712049356
"Any[-23.2, -11.6]",-10.832491234254872
"Any[-23.2, -11.6]",-11.57181500640501
"Any[-11.6, 11.6]",-6.130065508664419
"Any[-23.2, -11.6]",-18.60279801750823
"Any[23.2, -11.6]",14.202824703364723
"Any[-11.6, 23.2]",-7.362730362224106
"Any[0.0, -23.2]",-3.436233357094817
"Any[-11.6, -23.2]",-4.325495464382507
"Any[-11.6, 23.2]",-3.8832453424410023
"Any[11.6, -11.6]",1.1703312245578812
"Any[11.6, -11.6]",8.579699087072914
"Any[11.6, -23.2]",8.774294647918977
"Any[0.0, 23.2]",6.682961332760006
"Any[-23.2, 0.0]",-16.22637029638389
"Any[0.0, 23.2]",1.2035655605252997
"Any[-11.6, 0.0]",-15.249660577425201
"Any[11.6, 23.2]",7.607017377906477
"Any[0.0, -23.2]",-8.278216942253334
"Any[11.6, -23.2]",12.522936705379033
"Any[23.2, 0.0]",18.740203089078218
"Any[23.2, 11.6]",15.8593583113373
"Any[11.6, -23.2]",7.872103598252263
"Any[11.6, 0.0]",13.818847706677216
"Any[0.0, 11.6]",0.08695755246451298
"Any[0.0, 11.6]",-1.2731478031271977
"Any[0.0, -11.6]",-3.942672249294165
"Any[-11.6, 0.0]",-6.252495655877601
"Any[11.6, -23.2]",6.9092624414764305
"Any[-23.2, 11.6]",-10.191006936884
"Any[-23.2, 0.0]",-15.048497945308325
"Any[-23.2, 11.6]",-15.836050225161948
"Any[-23.2, 11.6]",-20.053872871447325
"Any[11.6, 23.2]",2.119421748181568
"Any[-11.6, 0.0]",-15.62690075779917
"Any[11.6, -23.2]",7.32815758471098
"Any[-23.2, 11.6]",-10.920867931574186
"Any[11.6, 0.0]",5.785565943497476
"Any[-11.6, 23.2]",-9.947177961640586
"Any[-23.2, 0.0]",-18.377410058011897
"Any[23.2, -11.6]",11.12181491122226
"Any[23.2, -11.6]",14.663835206780224
"Any[11.6, 23.2]",11.364635105248666
"Any[23.2, 0.0]",11.568010188667209
"Any[-11.6, 11.6]",-6.31626353516277
"Any[0.0, -11.6]",-2.7175985175855186
"Any[0.0, 11.6]",3.2603618840516297
"Any[23.2, -11.6]",10.678779237818041
"Any[-23.2, -11.6]",-13.81942924250215
"Any[-11.6, 0.0]",-1.8859807811692042
"Any[0.0, 23.2]",-1.257679878502294
"Any[-23.2, 0.0]",-21.08160394572759
"Any[-23.2, 11.6]",-15.725552176554652
"Any[11.6, -23.2]",-0.08070169252418169
"Any[0.0, -23.2]",2.6586652521489604
"Any[-11.6, 23.2]",-0.6178173755020695
"Any[23.2, 0.0]",10.0572438242401
"Any[-11.6, 23.2]",-5.882480730853649
"Any[-23.2, -11.6]",-16.570845692551174
"Any[11.6, -23.2]",7.824178535390216
"Any[-23.2, -11.6]",-11.006800238434261
"Any[23.2, 0.0]",17.385596562746635
"Any[11.6, -11.6]",5.198488070759855
"Any[-11.6, 23.2]",-4.243902894403357
"Any[0.0, 11.6]",-5.000814463472742
"Any[23.2, -11.6]",9.042888727702437
"Any[0.0, 23.2]",1.3560004323204804
"Any[11.6, -11.6]",0.8324339622195778
"Any[0.0, -23.2]",3.092646114383757
"Any[-11.6, 11.6]",-2.346464695206893
"Any[0.0, 11.6]",-0.7963348684563059
"Any[-23.2, 11.6]",-18.581439391343835
"Any[23.2, -11.6]",10.826343854513807
